"","LRR Name","LRR Symbol","GIPL - Baseline","GIPL 50 A1B","GIPL 90 A1B"
"1","Southern Alaska","W1",7,3,0
"2","Aleutian Alaska","W2",NA,NA,NA
"3","Interior Alaska","X1",55115,30950,10193
"4","Western Alaska","X2",16187,3407,13
"5","Northern Alaska","Y",140155,128163,97317
