"","LRR Name","LRR Symbol","Pastick - Baseline","Past 50 B1","Past 90 B1","Past 50 A1B","Past 90 A1B","Past 50 A2","Past 90 A2"
"1","Southern Alaska","W1","3","1","0","2","2","1","NaN"
"2","Aleutian Alaska","W2","NaN","NaN","NaN","0","0","NaN","NaN"
"3","Interior Alaska","X1","123,846","93,167","40,488","60,207","14,202","68,831","2,469"
"4","Western Alaska","X2","22,865","9,671","12,656","11,924","6,601","9,939","NaN"
"5","Northern Alaska","Y","186,087","178,584","142,776","146,957","116,373","155,510","100,391"
