"","LRR Name","LRR Symbol","STATSGO","gNATSGO","Yi et al","Aalto et al","DOS-TEM","GIPL","Pastick"
"1","Southern Alaska","W1",76,75,6,5,2,7,0
"2","Aleutian Alaska","W2",0,0,NA,NA,NA,NA,NA
"3","Interior Alaska","X1",71410,76528,43381,49706,28483,55115,27985
"4","Western Alaska","X2",31346,27260,6793,13512,4068,16187,8506
"5","Northern Alaska","Y",140262,140347,134120,139809,108684,140155,129358
