"","LRR Name","LRR Symbol","STATSGO","gNATSGO","Yi et al","Aalto et al","DOS-TEM","GIPL","Pastick"
"1","Southern Alaska","W1",11,11,0,0,0,0,0
"2","Aleutian Alaska","W2",0,0,NA,NA,NA,NA,NA
"3","Interior Alaska","X1",20046,20881,12297,10917,7884,15448,9814
"4","Western Alaska","X2",10461,7475,1238,2288,898,3648,2631
"5","Northern Alaska","Y",29648,29650,28072,29472,22227,29622,28108
