"","LRR Name","LRR Symbol","GIPL - Baseline","GIPL 50 A1B","GIPL 90 A1B"
"1","Southern Alaska","W1","14","6","1"
"2","Aleutian Alaska","W2","NaN","NaN","NaN"
"3","Interior Alaska","X1","206,306","119,751","41,436"
"4","Western Alaska","X2","42,860","5,733","25"
"5","Northern Alaska","Y","206,029","185,878","136,056"
