"","LRR Name","LRR Symbol","Aalto - Baseline","Aalto 50 RCP4.5","Aalto 70 RCP4.5","Aalto 50 RCP8.5","Aalto 70 RCP8.5"
"1","Southern Alaska","W1","0","0","0","0","0"
"2","Aleutian Alaska","W2","NaN","NaN","NaN","NaN","NaN"
"3","Interior Alaska","X1","9,814","2,057","1,723","1,669","910"
"4","Western Alaska","X2","2,631","1","0","0","NaN"
"5","Northern Alaska","Y","28,108","19,511","18,969","18,959","17,187"
