"","LRR Name","LRR Symbol","GIPL - Baseline","GIPL 50 A1B","GIPL 90 A1B"
"1","Southern Alaska","W1",7,4,0
"2","Aleutian Alaska","W2",NA,NA,NA
"3","Interior Alaska","X1",135743,80961,29248
"4","Western Alaska","X2",23025,1928,12
"5","Northern Alaska","Y",36252,31982,20664
