"","LRR Name","LRR Symbol","STATSGO","Yi et al","Aalto et al","DOS-TEM","GIPL","Pastick","STATSGO Binary All"
"1","Southern Alaska","W1",98,11997,9582,11272,13699,660,570
"2","Aleutian Alaska","W2",0,NA,NA,NA,NA,NA,NA
"3","Interior Alaska","X1",264665,348027,408711,250605,450753,237176,566012
"4","Western Alaska","X2",85869,21953,44597,26362,80714,34087,177644
"5","Northern Alaska","Y",206201,263199,279598,201188,280500,235879,280235
