"","LRR Name","LRR Symbol","GIPL - Baseline","GIPL 50 A1B","GIPL 90 A1B"
"1","Southern Alaska","W1",14,6,1
"2","Aleutian Alaska","W2",NA,NA,NA
"3","Interior Alaska","X1",206306,119751,41436
"4","Western Alaska","X2",42860,5733,25
"5","Northern Alaska","Y",206029,185878,136056
