"","LRR Name","LRR Symbol","STATSGO","gNATSGO","Yi et al","Aalto et al","DOS-TEM","GIPL","Pastick"
"1","Southern Alaska","W1",98,101,10,14,3,14,3
"2","Aleutian Alaska","W2",0,0,NA,NA,NA,NA,NA
"3","Interior Alaska","X1",264665,247513,169275,176793,115146,206306,123846
"4","Western Alaska","X2",85869,75204,12732,24214,10156,42860,22865
"5","Northern Alaska","Y",206201,206189,195795,205389,153010,206029,186087
