"","LRR Name","LRR Symbol","Pastick - Baseline","Past 50 B1","Past 90 B1","Past 50 A1B","Past 90 A1B","Past 50 A2","Past 90 A2"
"1","Southern Alaska","W1",0,0,0,1,2,0,NA
"2","Aleutian Alaska","W2",NA,NA,NA,0,0,NA,NA
"3","Interior Alaska","X1",27985,19968,8874,12765,3239,14720,671
"4","Western Alaska","X2",8506,4456,2662,2573,2771,2646,NA
"5","Northern Alaska","Y",129358,124596,102759,104580,85939,110527,75355
