"","LRR Name","LRR Symbol","Total LRR Area","Total Domain Area","Total Water Area","Total Rock/Ice/Urban Area","Total Soil Area","STATSGO Binary Gelisol Area"
"1","Southern Alaska","W1","NaN","275,042","7,140","91,399","176,503","98"
"2","Aleutian Alaska","W2","13,455","148","20","5","123","0"
"3","Interior Alaska","X1","665,532","665,522","13,175","68,677","583,670","264,665"
"4","Western Alaska","X2","229,961","223,206","24,698","3,449","195,059","85,869"
"5","Northern Alaska","Y","329,460","324,898","15,965","28,233","280,700","206,201"
