"","LRR Name","LRR Symbol","Pastick - Baseline","Past 50 B1","Past 90 B1","Past 50 A1B","Past 90 A1B","Past 50 A2","Past 90 A2"
"1","Southern Alaska","W1","0","0","0","0","0","0","NaN"
"2","Aleutian Alaska","W2","NaN","NaN","NaN","0","0","NaN","NaN"
"3","Interior Alaska","X1","9,814","7,018","2,647","4,185","808","4,825","148"
"4","Western Alaska","X2","2,631","1,272","1,061","1,031","895","948","NaN"
"5","Northern Alaska","Y","28,108","26,372","20,363","20,907","17,055","22,177","14,790"
