"","LRR Name","LRR Symbol","GIPL - Baseline","GIPL 50 A1B","GIPL 90 A1B"
"1","Southern Alaska","W1",0,0,0
"2","Aleutian Alaska","W2",NA,NA,NA
"3","Interior Alaska","X1",15448,7840,1995
"4","Western Alaska","X2",3648,398,0
"5","Northern Alaska","Y",29622,25734,18074
