"","LRR Name","LRR Symbol","STATSGO","gNATSGO","Yi et al","Aalto et al","DOS-TEM","GIPL","Pastick"
"1","Southern Alaska","W1","11","11","0","0","0","0","0"
"2","Aleutian Alaska","W2","0","0","NaN","NaN","NaN","NaN","NaN"
"3","Interior Alaska","X1","20,046","20,881","12,297","10,917","7,884","15,448","9,814"
"4","Western Alaska","X2","10,461","7,475","1,238","2,288","898","3,648","2,631"
"5","Northern Alaska","Y","29,648","29,650","28,072","29,472","22,227","29,622","28,108"
