"","LRR Name","LRR Symbol","karj - Baseline","Karj 50 RCP4.5","Karj 70 RCP4.5","Karj 50 RCP8.5","Karj 70 RCP8.5"
"1","Southern Alaska","W1",14,2,1,1,0
"2","Aleutian Alaska","W2",NA,NA,NA,NA,NA
"3","Interior Alaska","X1",176793,49487,39136,37449,18045
"4","Western Alaska","X2",24214,445,61,47,NA
"5","Northern Alaska","Y",205389,158860,153013,152502,130506
