"","LRR Name","LRR Symbol","STATSGO","gNATSGO","Yi et al","Aalto et al","DOS-TEM","GIPL","Pastick"
"1","Southern Alaska","W1",11,14,4,9,1,7,3
"2","Aleutian Alaska","W2",0,0,NA,NA,NA,NA,NA
"3","Interior Alaska","X1",173210,148761,113597,116170,78780,135743,86047
"4","Western Alaska","X2",44062,40469,4702,8414,5190,23025,11728
"5","Northern Alaska","Y",36291,36192,33602,36108,22099,36252,28622
