"","LRR Name","LRR Symbol","GIPL - Baseline","GIPL 50 A1B","GIPL 90 A1B"
"1","Southern Alaska","W1","0","0","0"
"2","Aleutian Alaska","W2","NaN","NaN","NaN"
"3","Interior Alaska","X1","15,448","7,840","1,995"
"4","Western Alaska","X2","3,648","398","0"
"5","Northern Alaska","Y","29,622","25,734","18,074"
