"","LRR Name","LRR Symbol","Pastick - Baseline","Past 50 B1","Past 90 B1","Past 50 A1B","Past 90 A1B","Past 50 A2","Past 90 A2"
"1","Southern Alaska","W1","0","0","0","1","2","0","NaN"
"2","Aleutian Alaska","W2","NaN","NaN","NaN","0","0","NaN","NaN"
"3","Interior Alaska","X1","27,985","19,968","8,874","12,765","3,239","14,720","671"
"4","Western Alaska","X2","8,506","4,456","2,662","2,573","2,771","2,646","NaN"
"5","Northern Alaska","Y","129,358","124,596","102,759","104,580","85,939","110,527","75,355"
