"","LRR Name","LRR Symbol","karj - Baseline","Karj 50 RCP4.5","Karj 70 RCP4.5","Karj 50 RCP8.5","Karj 70 RCP8.5"
"1","Southern Alaska","W1",0,1,1,1,0
"2","Aleutian Alaska","W2",NA,NA,NA,NA,NA
"3","Interior Alaska","X1",27985,15078,11645,11145,5276
"4","Western Alaska","X2",8506,322,52,39,NA
"5","Northern Alaska","Y",129358,111412,108393,108156,93536
