"","LRR Name","LRR Symbol","GIPL - Baseline","GIPL 50 A1B","GIPL 90 A1B"
"1","Southern Alaska","W1","7","3","0"
"2","Aleutian Alaska","W2","NaN","NaN","NaN"
"3","Interior Alaska","X1","55,115","30,950","10,193"
"4","Western Alaska","X2","16,187","3,407","13"
"5","Northern Alaska","Y","140,155","128,163","97,317"
