"","LRR Name","LRR Symbol","karj - Baseline","Karj 50 RCP4.5","Karj 70 RCP4.5","Karj 50 RCP8.5","Karj 70 RCP8.5"
"1","Southern Alaska","W1","3","1","1","1","0"
"2","Aleutian Alaska","W2","NaN","NaN","NaN","NaN","NaN"
"3","Interior Alaska","X1","86,047","32,352","25,767","24,635","11,858"
"4","Western Alaska","X2","11,728","123","9","8","NaN"
"5","Northern Alaska","Y","28,622","27,937","25,651","25,387","19,783"
